715.91,C0157960
84.6,C1455954
641,C0156616
122.9,C0348276
279.52,C0867389
967.8,C0161565
V17.0,C0260517
780.4,C0476206
695.3,C0035854
593.9,C0268701
799.01,C0004044
537.81,C0152163
211.3,C0004991
783.1,C0332544
37.51,C0018823
22.2,C1384596
367.51,C0235238
588.9,C0341677
278,C1561827
615.9,C0269047
258.01,C0025267
520.2,C0000770
790.92,C0375576
642.9,C1261262
993.3,C0011119
E978,C1278561
296.2,C0024517
518.81,C0264490
355.9,C0235880
427.61,C0033036
686.8|041.9,NONE
784.61,C0002019
85.4,C0024881
519.11,C0741804
523.33,C0001342
996.66,C0161784
287,C0154300
617,C0014175
201.1,C0019829
535.1,C0017154
298.1,C0338930
116,C0005716
575.9,C0016977
729.1,C0026893
788.1,C0013428
V23.9,C3714588
995.86,C0024591
569.9,C0021831
V21.1,C0677548
686.01,C0085652
49.46,C0019108
711.9,C0003869
202.1,C0026948
331.81,C0035400
992.5,C0018839
785.5,C0159051
454,C0155778
V47.4,C0260709
714,C0157913
374.55,C0155214
529,C0155962
303.9,C0154474
129,C0021832
V40.1,C0260655
782.61,C0030232
258.02,C0025268
V61.10,C0375880
531.9,C0400806
750.7,C2004369
85.9,C0177680
741,C0080178
53.29,C0176955
934.9,C0161016
354,C0154741
278.02,C0497406
170.9,C0153509
751,C0158678
273.4,C0221757
V58.89,C0260783
626.8,C0029592
300.89,C0349249
638.9,C0269549
70.31,C0195147
368.8,C0029844
276.6,C0546817
40,C0600057
300.02,C0270549
764,C0158849
571.8,C0029546
789.5,C0003962
153,C0007102
998.9,C0869442
784.69,C0478145
256,C0154208
250.01,C0375114
379.9,C1314803
307.3,C0038273
967.9,C0274638
307.59,C0029587
256.1,C0154210
425.18,C0348615
507,C0155899
54.9,C0161915
V69.3,C0348090
128,C0494126
76,C0161943
66.3,C0029524
947.4,C0433217
733.99,C0029586
457.9,C0155799
379,C0497217
744.89,C0477992
742.4,C0477972
51.2,C0008320
E005.0,C0010963
531,C0038358
89.11,C0040420
770.81,C2316590
749.1,C0008924
562,C1510475
302.4,C0015269
526.5,C0013240
292,C0154330
412,C0155668
631.8,C0156422
34.1,C0198402
752.89,C0431614
346.9,C0149931
84.9,C0177663
535.5,C0041841
719.9,C0022408
96.04,C0021932
276.7,C0020461
830-839.99,C0012691
104.9,C0037974
695.81,C0038165
940-949.99,C0006434
771,C0158944
799.4,C0006625
999.51,C3161143
840-848.99,C0038048
984,C0023176
362.41,C0730328
794.11,C0476396
300.6,C0683416
737.1,C0022822
569.49,C0348742
190,C0496836
4.9,NONE
120.9,C0036323
378.81,C0702143
698.1,C0033777
511.81,C0080032
656.7,C0477835
998.32,C1135270
69.6,C0025335
V40.9,C0260658
295.5,C0023105
611,C0156320
447.6,C0003860
579,C0024523
732.5,C0158444
729.99,C0158370
204.01,C0153876
789.06,C0232493
83.2,C0177618
112.85,C0858895
112.9,C0006840
120.1,C0036330
429,C0155711
272.4,C0348494
703,C0027339
365.89,C0029802
388.31,C0155533
4.1,NONE
733.22,C0152244
121.2,C0030424
267,C0003969
410,C0155626
372.03,C0029668
584.9,C0022660
284,C1719323
299.9,C0524528
23.9,NONE
00-99.99,C0184661
E990-E999.9,C0178364
770.11,C1561792
179,C0153567
75.1,C0002627
426.13,C0549211
661.2,C0477838
751.61,C0005411
367.53,C0152196
530.13,C0341106
204.9,C0023448
790.8,C0042749
560.1,C0030446
176.9,C0036220
96.51,C0022102
200.4,C4721414
493.9,C0004096
158.9,C0153467
533,C0030920
971.1,C0412870
302.79,C0033951
11,C0197402
331.82,C0752347
518.6,C0004031
52.52,C0176940
582.89,C0156233
26.1,C0176425
287.2,C0029678
595,C0010692
780.54,C0917799
362.74,C4551633
455,C0019112
740-759.99,C0000768
447.9,C0155764
728.2,C0868752
523.1,C0008684
365.6,C0154960
293,C1456303
770.4,C0270163
370.4,C0155085
362.16,C0035320
V22.0,C0260550
370.8,C0348526
253.9,C0859058
708.1,C0157741
227,C0154039
315.02,C0920296
197.8,C0153683
564.2,C0032763
564.89,C0341089
438.13,C0013362
346.1,C0338480
0.1,NONE
273.2,C0029698
94.22,C0204592
292.2,C0152129
641.2,C0000832
972.1,C0161601
528,C0155958
437.4,C0007773
345.5,C1719407
V62.5,C0260807
102.9,C0043388
72.9,C0162209
747.1,C0003492
695.9,C0041834
564.5,C0156173
458.21,C1260413
437.1,C0029626
924.9,C0009938
590,C0021313
287.4,C0154301
698.9,C0033774
779.9,C0270075
191.9,C0153633
575.1,C0029539
368.6,C0028077
728.88,C0035410
984.9,C0023176
76.9,C0175618
298.9,C0033975
277.89,C0494362
127.3,C0040954
405.91,C0155624
579.9,C0024523
5.9,NONE
784.41,C0003564
33.9,C0161887
474,C0155828
841.9,C0160061
V62.0,C0496682
305.01,C1812624
682.2,C0157698
64,C0194682
30,C0023065
625.8,C0156402
728.11,C0016037
54.96,C0198632
428.3,C1135196
790.6,C0029481
463,C0001361
782.62,C0016382
62.4,C0007347
426.7,C0392470
314,C1263846
426.1,C0348621
111,C0011630
99.15,C0030548
482.9,C0004626
285.9,C0002871
446.1,C0026691
87.9,C0177754
790.94,C0015190
378.72,C0162674
81.54,C0086511
287.1,C0235604
275.01,C0392514
511.9,C0032227
491,C0008677
123.9,C0007894
69,C0161934
536.3,C0152020
747.83,C0031190
134.8,C0153324
230-234.99,C0007099
99.4,C0178209
275.03,C2921018
212.3,C0153954
611.71,C0024902
202.2,C0036920
989.5,C0040533
338.4,C1298685
V69.0,C1306891
959.01,C0018674
270.3,C0342712
124,C0040896
41.9,C0176717
696,C0157723
795.3,C0159125
530.89,C0348727
882,C0160615
348.5,C0006114
7.6,NONE
237.7,C0162678
879.8,C0273236
238.79,C1706492
519.8,C0869452
372.39,C0029560
590.1,C0520575
94.64,C0204601
736.89,C0029486
V25.49,C0375828
576.8,C0348759
536.9,C0156084
787.03,C0728950
74.1,C0195620
191.7,C0153641
270.6,C0154246
8.61,NONE
46.19,NONE
251.1,C0375153
389,C1384666
782.4,C0476232
437.7,C0338591
815.01,C0272684
V60.9,C0260799
691,C0004187
780.93,C0751295
410.91,C0155664
96.33,C0017134
43.9,C0161899
295,C0036341
251.9,C1263961
V21.2,C0029575
125.2,C0023968
327.51,C0751774
987.8,C0161719
81,C0161948
200.2,C0006413
360.6,C0271015
783.4,C0878753
562.1,C0012811
377.1,C0029124
87,C0043299
985.9,C0161709
285.2,C0002873
626.2,C0341863
339.02,C0009088
878.2,C0434143
344.9,C0522224
729.9,C0158370
94,C0204479
194.1,C0153653
745.1,C0040761
41.81,NONE
282.7,C0029632
780.1,C0018524
493.91,C0038218
424.9,C0264865
798.1,C0021614
525.1,C1168590
364.41,C0020582
210-229.99,C0086692
686.9,C0406047
829,C0016658
701.9,C0041847
957.9,C0161479
745.2,C0039685
751.9,C0266015
304,C1510472
786.5,C0008031
634,C0000786
358.9,C0027868
77.98,C0188596
79.88,C0188850
V62.29,C0029680
996.32,C0161768
315,C0037785
708.3,C0343065
705.89,C0157735
680.9,C0007079
340,C0026769
530.2,C0151970
V61.49,C0260804
125.9,C0016085
364.7,C0154932
338-338.99,C0030193
371.11,C0155104
427.69,C0029712
704,C0554472
585.9,C1561643
115.9,C0019655
39,C0161894
042-042.99,C0019693
427.31,C0004238
E908.4,C0375743
376.3,C0155266
571.9,C0687718
118,C0029119
533.9,C0030923
716.9,C0022408
349.9,C0027765
694,C0085932
371.89,C0155137
308.3,C0029488
111.2,C0040249
6,NONE
379.19,C0155358
360.11,C0029077
371.45,C0152455
86.3,C0177702
788.69,C0159063
314.01,C1263846
323.9,C1719369
786.9,C0159057
459.81,C0042485
779,C0159019
785.59,C0029737
E001-E030.9,C0441655
416,C0238074
521.7,C1456170
239.6,C0006118
89.14,C0013819
696.1,C0490052
756.52,C0029454
50,C0193373
296.99,C1456310
708.9,C0042109
952.9,C0859273
4,NONE
302.81,C0015957
482.32,C0348801
794.4,C0236151
756.9,C0478080
575.8,C0348758
607.85,C0030848
268,C0042870
272.5,C0020623
181,C0153572
573.9,C0023895
242,C0040156
416.9,C0238074
68.23,C0341803
996.74,C0161792
264,C0042842
244.9,C0020676
85.1,C0191835
522.2,C0034100
771.81,C1135251
256.39,C0029697
524.62,C0155943
425,C0878544
787.6,C0015732
307.46,C0752294
275.41,C0020598
520.7,C0039437
977.2,C0869440
594.2,C0162301
78.19,C0177390
238.4,C0032463
776.1,C0158991
V13.51,C0016663
283,C0002879
297.1,C0011251
988.2,C0040528
69.92,C0021587
564.81,C0695242
983.1,C0161695
757.33,C0009726
992.2,C0085592
788.3,C0042024
126.1,C0027529
253.3,C0013338
99.27,C0022024
607.9,C0030846
599.72,C0239937
90.9,C0177908
996.8,C0009568
43.1,C0017196
127.4,C0086227
584,C0022660
698.8,C0157725
341,C0154692
79.89,C0177479
332.1,C0030569
243,C0010308
557.9,C2004435
787.02,C0375548
V60.5,C0260796
705,C0038986
610-612.99,C0006145
958.1,C1533618
726.9,C0242490
70.1,C0177224
312.9,C0149654
V65.2,C0496703
426.82,C0023976
666.2,C0473508
239-239.99,C3665668
79.4,C0185499
359.71,C0238190
508,C0155901
571.49,C0029545
259.2,C0024586
794.02,C0159099
V62.81,C0869289
695.2,C0014743
530.3,C4551650
607.81,C0152460
790.29,C1260443
814,C0016644
427.89,C0348626
377.41,C0155305
110.6,C1395264
985.8,C0040531
279.49,C0687719
240.9,C0018021
437.2,C0151620
684,C0021099
20.9,C0161870
296,C1456434
587,C0027719
705.83,C0085160
759.89,C0478095
78.3,C0005949
707,C0157738
564.4,C0156172
1,NONE
379.49,C0155376
53.9,C0176967
255.2,C0701163
758.5,C0029549
533.3,C0392499
744.9,C0869095
918.1,C0038824
205.1,C0023473
310.1,C1456323
385.9,C0155494
147.9,C0153392
708,C0042109
777.1,C0270246
760.8,C0158814
724.3,C0036396
743.9,C0015393
593.4,C0029866
125,C0153298
787.4,C0159059
703.8,C0157731
288.6,C0750426
783.41,C0015544
382.9,C0029882
77.4,C0005933
250.4,C0011881
91.2,C0177932
200.1,C3714542
57.8,C0177046
791.9,C0159078
525.9,C1704330
99.6,C0013778
786.07,C0043144
252.01,C0221002
508.2,C3161096
518.52,C3161111
709.09,C0375489
528.2,C0038363
769,C0035220
378.3,C0155334
794.3,C0476409
492,C0034067
521,C0155926
133,C0026229
362.35,C0154841
259.4,C0677577
190.5,C0024622
280.9,C0162316
696.4,C0032027
6.3,NONE
394,C0264765
206.9,C0598894
288.2,C0017377
70.3,C0177229
410.8,C0155659
572.8,C0156193
369.01,C0155022
438.7,C3665387
520.4,C3495540
366.9,C0086543
398.9,C0029730
608.3,C0156312
786.8,C0019521
594.1,C1961101
333.1,C1961111
372.3,C0029560
233,C0154083
569.89,C0348743
238.6,C0027638
574.21,C0156205
338.29,C0478148
378.87,C0733455
95.09,C0200149
279.03,C0154276
567.9,C0031154
753.12,C0022680
757.1,C0020758
446.6,C2717961
391.9,C0035440
272.1,C0020480
270.2,C0348483
70.54,C1955496
23.1,C0040440
330.8,C0029753
327.23,C0520679
405.99,C0348586
719.6,C0158205
751.7,C0158684
73,C0161939
758.6,C0018051
728.71,C0158360
697.1,C0162849
336.1,C0154685
482.42,C1142536
303,C0001973
239.7,C0154134
794.17,C0476403
84.3,C0185432
949,C1812606
709.8,C0029788
368.41,C0152191
791,C0476338
E988.2,C0332691
787.91,C0011991
198.81,C0346993
487.1,C0021414
344.89,C0154706
70,C0161935
302.89,C0029825
290.8,C0154319
175.9,C0153559
253.4,C0701162
540-543.99,C0003615
798,C0520806
870-897.99,C0332798
363.3,C0008512
588.81,C0271847
706.8,C0157736
648.4,C0156854
9,NONE
327.35,C0231311
20.42,C0198159
718.2,C0158090
300.29,C1456315
528.9,C0029498
V60.2,C0021138
100,C0023364
715.94,C0157963
39.63,C0018791
98.89,NONE
292.89,C0154325
200.8,C0079955
715.96,C0157965
715.09,C1384584
681.9,C0007644
420.9,C0155680
794.31,C0236140
623.8,C0029819
755.4,C0265547
556.3,C0267390
410.9,C0155626
645,C0878751
295.2,C0036344
284.19,C3161075
698,C0157724
443,C0553983
V22.2,C0451636
730.9,C2242472
V41.8,C0260668
996.85,C0161802
616.1,C0042268
704.8,C0029769
362.5,C0339436
628.2,C0156415
V60.1,C0260793
356.9,C0859673
967.3,C1533166
477,C2607914
585.6,C0022661
227.3,C0347525
82.4,C0177589
576.9,C0005424
239.2,C0154132
964,C0161527
370.9,C0022568
27.2,C0176434
627.9,C0156407
402.91,C1135333
733,C0029586
607.84,C0156309
472.1,C0155825
530.19,C0375352
362.07,C0730285
360.9,C0015397
644.2,C0151526
270,C0002514
46.2,C0020883
228.09,C0018918
79.82,C0186793
714.81,C0994344
364.21,C0016782
757.4,C0432340
997.91,C0020538
277.5,C0026703
45.9,C0192711
690.1,C0036508
277.4,C0012711
255.1,C0020428
39.65,C0015357
998.11,C0375725
319,C3161331
337.21,C0034931
745.69,C0029608
528.5,C0023760
V19.4,C0260540
322.9,C0025289
01-05.99,C0524850
301.4,C0009595
104,C0153245
98.15,C0178181
379.99|041.9,NONE
411.1,C0002965
600,C2937421
288.01,C0340970
116.1,C0030409
797,C0036654
77,C0161944
151,C0024623
441.9,C0340629
253.2,C0242343
355.1,C0152110
255.41,C1955741
786.59,C0029537
257,C0405581
60.2,C0040771
333.5,C0029542
729.2,C0347894
581,C0027726
V46.11,C1455974
446.5,C0039483
202,C0153793
281,C0154288
580.9,C0156226
783.6,C0020505
596,C0156271
731.2,C0029412
130,C0040558
310.2,C0546983
50.9,C0176887
733.09,C0029694
966.3,C0161555
430,C0038525
333.92,C0027849
581.3,C1704321
604.9,C0156302
366,C0086543
171.9,C0153519
947,C0006420
378.5,C0152221
85.5,C0191925
708.2,C0157742
242.91,C0154155
280,C0162316
V62.84,C0424000
23,C0161874
640,C0156604
266.1,C0936215
611.1,C0020565
174.9,C0235653
362.52,C0271084
31.8,NONE
746.9,C0018798
155,C0153448
149.8,C0153407
362,C0339438
52.8,C0030275
253.7,C0154198
58.29,C0177055
305.6,C0009171
864,C0160390
V25.01,C0375817
863.2,C0160348
57,C0161920
709.2,C0036278
279.2,C0494261
658.8,C0029715
789.7,C0232488
239.89,C0154135
288.3,C0014457
569.2,C0156183
571.4,C0019189
36,C0190189
448.9,C0348651
731,C0029402
112.84,C0239295
430-438.99,C0007820
782.2,C0476228
304.9,C1510472
301.21,C0338969
345.6,C0037769
625.3,C0013390
286.9,C0029496
251.2,C0020615
998.5,C0392618
574.2,C0006741
370.33,C0155082
596.54,C0005697
123.1,C0010678
799.29,C0478140
375.2,C0152227
54.43,NONE
624.09,C1955816
370,C0022568
786.51,C0232286
40.89,NONE
161.9,C0007107
50.6,C0702151
377.75,C0155320
131,C0040921
523.9,C0155936
425.4,C0340419
344.3,C0154702
112,C0006840
352.1,C0154731
99.21,C0199779
578,C0017181
491.21,C4041147
194.8,C0153651
337.9,C1145628
641.9,C0269608
583.89,C0027702
791.2,C0019048
289.89,C0029768
123.6,C0020413
159.9,C0153472
719.7,C0311394
269.1,C0011157
427.2,C0039236
275.3,C0031707
782.9,C0159037
435.9,C0917805
99.2,C0178197
723.5,C0040485
745.4,C0018818
425.11,C4551472
949.1,C0332686
41.1,C0176710
541,C0003615
482,C0155858
94.62,C0204597
117.4,C2350621
735.8,C0477573
255.13,C0004775
740,C0158530
372.34,C1328333
861,C0160316
729.82,C0010263
110-118.99,C0026946
780.59,C1962929
127.2,C0038463
74,C0007876
608.9,C0017412
514,C0155910
348.9,C0006111
571.2,C0023891
589,C0156247
245.9,C0040147
793.8,C0159094
363.71,C0154904
358.8,C0029816
98.5,C0015359
305,C3665497
62.2,C0177112
201.2,C0019829
V58.1,C0476658
198.5,C0153690
282.62,C0238425
710.0|581.81,NONE
366.04,C1112705
785.6,C4282165
55,C0194053
785.9,C0029854
576.4,C0005417
992.9,C0274287
642.7,C0156679
800-829.99,C0016658
324,C0154660
371.42,C0155119
728.87,C0746674
627.3,C0156409
780.3,C4048158
253.1,C0029493
579.3,C0029515
348.1,C0003132
530.1,C0014868
121.1,C0009021
919,C0160910
701.5,C0157729
694.8,C0079957
88.8,C0039810
742.8,C0477976
611.9,C0006145
774.2,C0158971
784.4,C2712707
390-392.99,C0035436
130.9,C0040558
614.4,C0404458
110,C0011636
784.59,C2712367
364.71,C0152253
692.6,C0157714
273.3,C0024419
713.2,C0263724
378.9,C0028850
706.2,C0014511
784.42,C1527344
995.2,C2921193
580-629.99,C0080276
333.99,C0154678
V62.4,C0677639
569.44,C0347129
602.9,C0033575
733.01,C0029459
88.7,C0041618
440.9,C0017327
695.12,C3241919
256.4,C0032460
97.9,NONE
1.9,NONE
346,C0149931
90.52,C0200949
54.42,NONE
523.8,C0029821
535.6,C0013298
276.3,C0002063
787.3,C0016205
625.9,C0041889
590.8,C0156255
301,C0031212
785.51,C0036980
281.9,C0041782
521.2,C0040428
287.9,C0019087
686.1,C0034214
527.7,C0012765
346.3,C0270862
524.6,C0039494
756,C0158773
56.9,C0841057
315.4,C0011757
286.1,C0008533
360.3,C0028841
365.9,C0017601
397,C0155578
304.6,C0029792
782.1,C0015230
787.7,C0162287
782.3,C0013604
E008.1,C0043261
110.3,C0011638
646.3,C2921106
22.1,C0176377
89.17,C0162701
426.6,C0029630
789.09,C0375555
99.23,C1261311
334.8,C0029849
760.71,C1542327
299.8,C1456313
785.4,C0017086
523.2,C0017572
388.8,C0155527
488.01,C2921085
250,C0011849
287.3,C0701157
377.31,C0030353
333.82,C0152115
991.6,C0413252
692.79,C0375485
796.2,C0392682
67,C0195257
456.8,C0155797
633,C0032987
719.46,C0838227
608.2,C0037856
702,C0029574
279.04,C1457897
182,C0153574
702.1,C0022603
784,C0476247
623.2,C0156386
697,C0023643
183,C0153577
84.91,C0002688
728.6,C0013312
434.91,C0375291
530.5,C0014858
788.42,C0032617
365.02,C0154941
789.1,C0019209
536.8,C0013396
302.76,C0154466
272.2,C2047520
368.13,C0042818
782.5,C0010520
192.1,C0153645
564,C0302382
132.9,C0030756
211.7,C0496872
98,C0161968
45.23,C0009378
263.9,C0033677
510,C0014009
788,C0476293
300.13,C0020703
301.6,C0011548
805.8,C0009048
339.89,C0494479
904.9,C0178324
364,C0154907
302,C0236989
746.1,C0158616
608.89,C0029782
771.6,C0027611
453.3,C0155776
709.9,C0178298
306.4,C0017183
287.32,C0272126
661.4,C0495255
657,C0020224
705.21,C1456132
570,C0001308
52,C0193594
31.9,C0161885
771.2,C0158946
378.61,C0155339
996.52,C0302411
780.09,C0221540
644.1,C0473388
112.89,C3665466
99.05,C0086818
300.23,C0031572
576.1,C0008311
202.4,C0023443
493,C0004096
307.52,C0031873
359.21,C0027126
7.5,NONE
V15.04,C0917920
738.9,C0264132
969.05,C0496978
721.6,C0020498
296.6,C1456306
959.7,C0029506
20,C0161870
781.3,C0520966
529.8,C0155965
245.1,C0040149
253.5,C0011848
719.4,C0003862
715.9,C0029408
656.1,C0035428
690.11,C0221244
150,C0546837
694.9,C0085932
86.9,C0177717
382.3,C0271454
187.4,C0153601
357,C0154758
279.12,C0043194
465.9,C0264222
364.2,C0007832
624.2,C0156394
363.20|078.5,NONE
V83-V84.99,C0314603
724.2,C0024031
100.9,C0023364
372.53,C3665609
301.12,C3665457
989.7,C0161732
26,C0600000
362.9,C0035309
358,C0027868
300.82,C0041672
307.1,C0003125
823.9,C0159876
270.5,C0268512
994.2,C0311274
V15.82,C0040335
783.9,C0159043
718.1,C0022411
453.4,C2712859
723.1,C0007859
379.93,C0034915
692.71,C0038814
289.84,C0272285
786.7,C0159056
82,C0187069
980.1,C0161680
78.5,C0185372
25,C0192135
307.51,C2267227
558.9,C0029512
312.3,C0868739
331.4,C0549423
437.9,C0007820
524.29,C1456189
57.94,C0177049
560,C0021844
79.81,C0186643
388.2,C0011057
209.2,C2349332
73.9,C0177279
606.9,C0021364
560.2,C0042961
780.39,C0490011
787.01,C0027498
780.03,C0242670
691.8,C0494831
361.9,C0035305
614.3,C0156329
737,C0037932
793.99,C1719645
352.5,C0152181
495.7,C0155891
590.9,C0021313
429.4,C0016809
289.83,C0026987
799.9,C0476465
302.5,C0040765
516.4,C0751674
985,C0274869
724.1,C0677061
460,C0009443
698.3,C0023654
410-414.99,C0151744
356.2,C0699739
41.6,NONE
614.2,C0036133
780.71,C0015674
427.5,C0018790
E887,C0016658
495.9,C0002390
796.9,C0159131
199.1,C0347071
989.5|E905.1,NONE
150.9,C0546837
758.89,C1305927
754.51,C0009081
33,C0161887
46.3,C0029612
269,C0154241
362.53,C0154850
495,C0002390
380.14,C0155395
30.9,NONE
648.14,C0156841
569.82,C0151971
389.1,C0018784
52.9,C0842217
757.9,C3536895
127.1,C0162576
270.8,C0029774
4.3,NONE
695.89,C0029794
321,C0154644
275.4,C0006705
87.74,C0203110
650,C1384485
388.3,C0040264
388.9,C0013447
89.1,C0177813
706.1,C0029485
41.89,NONE
345.1,C0311334
482.84,C0023241
690.8,C0375481
989,C0161725
759.5,C0041341
995,C0302409
278.8,C0029635
21,C0188970
335.1,C0026847
89.05,C0199182
972.2,C0161602
994.1,C0013143
117.5,C0010414
459,C0348668
189,C0153617
252.9,C0030517
276.69,C2921023
337.3,C0238015
611.79,C0156324
301.3,C0152183
132.2,C0030759
753,C0158698
584.5,C2712977
643,C0020450
580.89,C0156224
V26.1,C0699895
571.1,C0001306
705.22,C1456136
963.5,C0869511
277.86,C0282528
365.1,C0017612
348.4,C0009592
41.84,NONE
V09.1,C0375778
536,C0156084
276.2,C0001122
692.82,C0375486
277.3,C0002726
608.83,C0042374
289.5,C0154305
241,C1318500
38,C0161893
726.1,C0158301
627.2,C1135336
666.14,C0220887
556.8,C0348737
V12.60,C0035204
556.9,C0009324
99.12,C0162352
524.59,C1456208
54.21,C0031150
519.4,C0152097
214.9,C0023798
302.71,C0020594
39.9,C0161894
99.84,C0204727
147,C0153392
270.1,C0031485
90,C0161960
290-299.99,C0033975
733.4,C0520474
958,C0161480
362.83,C0242420
293.9,C1456302
312.39,C0029588
694.4,C0030807
471,C0027430
81.51,C0040508
101,C1527368
39.98,C0149533
348.89,C2712887
V49.89,C0878729
E009.1,C0006759
586,C0035078
592.9,C0042018
87.21,C0026995
492.8,C0029607
295.7,C0036337
758,C0008626
621.8,C0302384
V61.8,C0481799
818,C0159804
240-246.99,C0040128
307.2,C0040188
186.9,C0153596
569.42,C0002758
172.9,C0151779
622,C0156377
414,C0155669
752.61,C1691215
378.35,C0155336
61,C0161926
112.1,C0700345
349.89,C0029784
63,C0161928
900-904.99,C0178324
305.1,C0040336
788.5,C0028962
302.9,C0033953
692.9,C0375487
780.56,C0013373
58.6,C0194664
292.9,C0154330
424.2,C0701168
682.9,C0007645
636.9,C0260335
696.2,C0030491
271.1,C0016952
373.2,C0007933
709.3,C0342981
305.9,C0154544
153.9,C0007102
380.9,C0155388
272.3,C0023817
720,C0003089
710.2,C0086981
185,C0376358
428,C0018801
502,C0037116
70.53,C1955495
270.9,C0002514
666,C0032797
758.39,C0478100
270.4,C0268613
4.81,NONE
381.4,C0271446
300.22,C0001819
722.2,C1328971
745,C0158606
E800-E848.9,C0362049
88.82,C0202752
26.9,C0846208
8.5,NONE
117.3,C0004030
658.1,C0015944
300.11,C0009946
41.85,NONE
486,C0339951
78.12,C0177383
277.85,C1456270
209,C0206754
300.21,C0236800
519.3,C0869275
459.89,C0155803
271.8,C0029777
782,C0159037
513,C0155908
